,review,Total Star,Menu,Star_opt,Output
47,배달 빠르고 항상 맛있습니다,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
48,너무 맛있어요,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
49,매번시간도정확하고맛도좋아요,★★★★★,교촌허니오리지날/1,"
맛
★
5
양
★
5
배달
★
0
",4.8
50,항상 허니만먹어요 감자서비스감사합니다,★★★★★,교촌허니오리지날/1,"
맛
★
5
양
★
5
배달
★
0
",4.8
51,맛있게 잘먹었습니다,★★★★★,교촌허니순살[R]/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
52,존마탱 바삭해요 식어도 바삭함 ㅜㅜ 넘 맛있어,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
53,허니콤보 존맛탱구리,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
0
",4.6
54,바삭바삭 달짝지근맛나게 잘먹었습니다사진은 몇개 집어먹고 찍은것,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.6
55,맛있고 깔끔합니다 배달도 빠르구요,★★★★★,"교촌반반오리지날/1,고르곤치즈볼R,（6ea）/1","
맛
★
4
양
★
5
배달
★
5
",4.8
56,맛있게 잘먹었습니다,★★★★★,교촌허니콤보/1(사이드 메뉴(교촌웨지감자（세트）)),"
맛
★
5
양
★
5
배달
★
5
",5.0
57,바로튀긴치킨 따끈하게바로 배달해주니 넘 맛있네요,★★★★★,교촌레드윙/1(무우 및 소스 추가(교촌무우)),"
맛
★
5
양
★
5
배달
★
5
",4.6
58,항상 맛있게 잘 먹고 있습니다,★★★★★,교촌살살후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
59,항상 맛있게 잘먹고있습니다,★★★★★,"교촌오리지날/1,생맥주（1500cc）/1","
맛
★
5
양
★
5
배달
★
5
",4.81
60,배달도 빠르고 닭이 아주  쫄깃하고 맛있네요 교촌 매니아로서 확실히 맛있네요,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
61,포장주문했는데 자주시켜먹지만 오늘 바싹안튀겨지고 더 맛있네요,★★★★★,교촌레허반반순살/1,"
맛
★
5
양
★
5
배달
★
0
",1.98
62,꼭 교촌이 생각날때가 있어요 항상 맛있어요,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
63,바삭하고 너무 맛있어요,★★★★★,교촌허니오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
0
",5.0
64,맛있게 잘먹었습니다 추천추천,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
65,맛있어용 왠지 양도 많은것같은 느낌 ,★★★★★,교촌허니오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.4
66,맛있게 잘먹었습니다,★★★★★,"교촌허니콤보/1,교촌웨지감자/1,교촌잠발라야소스/2","
맛
★
5
양
★
5
배달
★
5
",5.0
67,교촌은 너무 맛있어용식후감,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
68,여러곳을 돌으신건지 좀 눅눅하네요바삭 뜨거운걸 원하면 매장을 찾아야겠죠그래서 별은 개그래도 양념이 맛있어 잘 먹었어요,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",4.0
69,역시 치킨은 교촌 이 제일 맛있어요,★★★★★,교촌레드윙/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
70,맛있게 잘먹었습니다,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
71,배달도 빠르고 독산점은 항상 조리 상태가 미쳤어요 닭다리 한 입 베어 무는데 갓 나온 음식처럼 촉촉하고 탱탱하고 정말 맛있었습니다 ㅠㅠ 이번에도 잘 먹었습니다,★★★★★,교촌레드콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
72,예상시간보다 분이나 빠르게 배달 해주셔서 엄청 따뜻하게 잘 먹었습니다 치킨은 역시 교촌이죠허니콤보는 맵지 않아서 아이랑 먹기 좋은거 같아요 덕분에 맛있는 저녁식사였습니다,★★★★★,교촌허니콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.61
73,허니 반 레드 반도 나왔으면 좋겠어요ㅠㅠ,★★★★★,교촌반반스틱/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.21
74,저번에 반반먹었을때 맛있어서 다시 시켰는데오늘 치킨상태가 좀 이상하네요ㅜㅜ딱딱하게 굳은 치킨살도 많고 다리살은 좀퍽퍽해요ㅜㅜ,★★★★,"교촌허니콤보/1,생맥주（1000cc）/2","
맛
★
3
양
★
5
배달
★
0
",2.01
75,오랜만에 치킨먹는 거라 기대했는데 역시 맛있네욤,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.2
76,맛있는데 배달비가 넘 비싸요ㅠㅠ  한동안 잊고살아야지 잘먹었습니다,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",2.6
77,믿고 먹는교촌치킨이죠 ㅋ,★★★★★,"교촌허니콤보/1,교촌레드윙[S]/1,쫀드칸꽈배기（시나몬슈가）/1","
맛
★
5
양
★
5
배달
★
5
",4.8
78,맛은있는데 바삭함이 부족했습니다 아쉬웠어요,★★★★,교촌치즈트러플순살/1,"
맛
★
3
양
★
3
배달
★
5
",2.61
79,맛은 매우 만족 스럽습니다만배달하시는분이 문도 안두드리고 문자나 전화도 안하고 문앞에 조용히 놓고 가서 기다리다가 식은걸 먹게되었네요다음엔 정상적인 배달원 만나길 ㅠㅠ,★★★★★,"교촌레허반반순살/1,시그니처순살세트/1","
맛
★
5
양
★
5
배달
★
1
",1.39
80,모든면에서 만족합니다,★★★★★,교촌반반오리지날/1,"
맛
★
5
양
★
5
배달
★
0
",4.79
81,여전히 너무 맛있습니다,★★★★★,교촌허니콤보/1(사이드 메뉴(쫀드칸꽈배기（콘치즈）)),"
맛
★
5
양
★
5
배달
★
5
",4.8
82,맛있었습니다 믿고먹는 반반콤보 ㅎㅎ,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.4
83,배달 아주 빠르고 맛있습니다,★★★★★,교촌허니오리지날/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
84,역시 교촌은 맛있어요,★★★★★,교촌레드콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
85,맛있게 잘먹었습니다 ㅎㅎ,★★★★★,교촌레드윙/1(사이드 메뉴(교촌웨지감자（세트）)),"
맛
★
5
양
★
5
배달
★
0
",5.0
86,너무너무 맛있게 잘 먹었습니다,★★★★★,교촌레드콤보/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",5.0
87,요청사항 잘 들어주셔서 맛있게 먹었습니다,★★★★★,"교촌허니콤보/1(사이드 메뉴(교촌웨지감자（세트）,교촌닭갈비볶음밥（매운맛）))","
맛
★
5
양
★
5
배달
★
5
",5.0
88,항상 맛있게 잘 먹고 있어요예전엔 레드윙만 먹었는데지금은 반반둘다 맛나요,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.78
89,반반윙 언제나 맛있네요 순살은 복불복이있는데 교촌은 콤보나 윙이 좋네요,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
90,맛있게 먹었어요 ,★★★★★,"교촌콤보/1(사이드 메뉴(선택안함)),교촌레드순살[S]/1","
맛
★
5
양
★
5
배달
★
5
",4.6
91,잘먹었습니다맛있어용,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
92,배달도 빠르고 치킨도 따뜻하고 맛은 말할 것도 없이 맛있었습니다 잘 먹었습니다,★★★★★,교촌레드콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
93,시간 기다려도 안오길래 전화했는데 배달을 잘못하셔서 또 기다렸더니 시간 정도를 더 기다려서야 도착한 시간짜리 치킨 빨리 갖다주신다해서 그래도 이것보단 일찍올줄 알았는데 아쉽네요,★,교촌레허반반순살/1,"
맛
★
1
양
★
1
배달
★
1
",1.38
94,레드 교촌은 언제나 최고,★★★★★,교촌반반순살[R]/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
95,기본양념 향이 독특합니다산초가루는 기호에 따라 조금씩 넣는걸 추천합니다,★★★★★,블랙시크릿순살/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",4.0
96,잘 먹었습니다 ㅎㅎ,★★★★★,교촌허니오리지날/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",5.0
97,맛있게 잘 먹었습니다,★★★★★,교촌레드윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
98,최악 비도 안 오는데 배달 언제오죠 분이 넘었는데 아직도 안 오고 가게는 닫았고 참,★,교촌허니순살[R]/1(사이드 메뉴(선택안함)),"
맛
★
1
양
★
1
배달
★
1
",1.4
99,항상 즐겨먹는 레드윙,★★★★★,"교촌레드윙/1,고르곤치즈볼R,（6ea）/1","
맛
★
5
양
★
5
배달
★
5
",4.8
100,잘 먹었습니다,★★★★★,"교촌레허반반순살/1(사이드 메뉴(선택안함)),생맥주（500cc）/1","
맛
★
5
양
★
1
배달
★
5
",5.0
101,교촌 오랜만에 먹었는데 맛있어요 근데 콜라가 너무 흔들렸나봐요 뚜껑 따자마자 사방에 튀었어요,★★★★★,교촌반반스틱/1,"
맛
★
5
양
★
5
배달
★
3
",3.42
102,맛잇어요 우걱우걱,★★★★★,"교촌레드오리지날/1(사이드 메뉴(교촌웨지감자（세트）),무우 및 소스 추가(교촌잠발라야소스))","
맛
★
5
양
★
5
배달
★
5
",4.79
103,혼자 자취시작해서 먹는치킨이 맨날 교촌 레드윙인데 처음보다 배달비가 좀 많이올라서 앞으로는 좀 걱정이긴해용 ㅠㅠ 레드윙 맛은 변함없이 맛나구혹시 비많이오거나하면 배달포장이 많이젖어있는데 그것만 좀 신경써서 부탁드립니당 ㅎㅎ,★★★★★,교촌레드윙/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
3
",1.2
104,최고에요,★★★★★,"교촌허니콤보/1,교촌레드콤보[S]/1","
맛
★
5
양
★
5
배달
★
0
",5.0
105,교촌은 사랑입니다 다만 비쌀뿐,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.59
106,맛있어요따뜻하고 빨라요,★★★★★,교촌레허반반순살/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
107,배달 진짜 빨랐어요 감사합니당늘 맛있어용,★★★★★,교촌레허반반순살/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
108,근처에 교촌치킨 많아서 돌아가면서 시켜봤는데 독산호점이 개인적으로 제일 조리 상태가 좋다고 느꼈어요 살도 통통하고 딱 알맞게 맛있어서 즐겁게 식사했습니다,★★★★★,교촌레드콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
109,포장 엄청 빠르고 맥주도 맛있어요존맛탱구리,★★★★★,"교촌반반콤보/1(사이드 메뉴(선택안함)),생맥주（2000cc）/1","
맛
★
5
양
★
5
배달
★
0
",5.0
110,반반 스틱 최고,★★★★★,교촌반반스틱/1,"
맛
★
5
양
★
5
배달
★
5
",2.98
111,집근처라 여기서만 시켜먹는데 맛있어요 허니콤보랑 레드 콤보 시켰는데 양도 많고 빨리 만들어주셔서 좋아요,★★★★★,"교촌레드콤보/1(사이드 메뉴(선택안함)),교촌허니콤보/1(사이드 메뉴(선택안함))","
맛
★
5
양
★
5
배달
★
0
",4.8
112,요청사항 확인해주셔서 감사합니다 잘 먹었습니다 ㅋ,★★★★★,교촌순살[R]/1,"
맛
★
5
양
★
5
배달
★
5
",4.81
113,요청사항대로 문앞에 놓고 초인종도 눌러주셔서 비대면으로 잘받았고 치킨도 맛있게 잘먹었습니다,★★★★★,"교촌퐁듀치즈볼S（3ea）/1,교촌레드순살[S]/1,트러플사워소스/1","
맛
★
5
양
★
5
배달
★
5
",4.8
114,간밤에 비도 많이왔는데가서 뵙지도 못해서 배달주문했는데너무 맛있게 잘 드셨다 연락주셨어요 ㅎㅎ바삭하게 튀겨달라 요청드렸는데비오는 날씨에도 바삭바삭하게 배달되서입맛잃은 엄마가 특히 더 잘 드셨대요사장님 감사합니다비오는 날 배달해주신 배송기사님께도 감사드려요,★★★★★,교촌허니순살[R]/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
115,맛있게 잘먹었습니다,★★★★★,블랙시크릿오리지날/1(사이드 메뉴(교촌레드순살[S])),"
맛
★
5
양
★
5
배달
★
5
",5.0
116,언제 먹어도 맛있는 교촌,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
117,비엄청 오는데 잘 먹었습니다 또 주문할께요,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
118,푸짐하게 잘 먹었습니다,★★★★★,"교촌레드콤보/1,교촌레드순살[R]/1,펩시（500ml）사이즈업/1","
맛
★
4
양
★
5
배달
★
5
",4.6
119,맛있게 잘 먹었습니다,★★★★★,"시그니처순살세트/1(사이드 메뉴(교촌웨지감자（세트）)),펩시（사이즈업）1.25L/1","
맛
★
5
양
★
5
배달
★
0
",4.8
120,배달이 엄청 빠르네요양념은 좀 매웠어요,★★★★★,"교촌반반콤보/1,생맥주（500cc）/1","
맛
★
5
양
★
4
배달
★
5
",2.77
121,맛잇어요,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
122,맛있게 잘 먹었습니다 반반윙만 시켜요 저희 부부가 애정하는 반반윙맛있게 잘 먹었습니다,★★★★★,교촌반반윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.4
123,배달도 빠르고 가산점보다 맛있어요,★★★★★,교촌레드윙/1,"
맛
★
5
양
★
5
배달
★
5
",4.23
124,간장하나 레드하나 이렇게 먹는데 갯수가 하나가 안맞네요 하나가 더 들어간건지 덜 들어간건지 모르겠지만 맛은있어요,★★★★★,교촌반반윙/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
5
",3.0
125,식후감맛있어요 잘먹었습니다 감사합니다,★★★★★,교촌레드콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
126,바삭바삭 순살도 맛있어요,★★★★★,교촌순살[R]/1,"
맛
★
5
양
★
5
배달
★
5
",4.79
127,맛있게 잘먹었네요,★★★★★,"교촌레드콤보/1,펩시（사이즈업）1.25L/1","
맛
★
5
양
★
5
배달
★
5
",5.0
128,맛있었어요 항상 같은 맛,★★★★★,교촌살살후라이드/1,"
맛
★
5
양
★
5
배달
★
5
",4.61
129,잘먹었습니다,★★★★,"교촌스틱/1,교촌스틱[S]/1","
맛
★
4
양
★
5
배달
★
4
",5.0
130,달콤하고 바삭하니 맛있어요,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
0
",4.0
131,맛있었어욤 ,★★★★★,교촌순살[R]/1(사이드 메뉴(교촌허니순살[S])),"
맛
★
5
양
★
4
배달
★
5
",5.0
132,맛있어요 날이 더웠디만 눅눅하지않고 바삭해서 좋았어요,★★★★★,교촌레허반반순살/1(사이드 메뉴(선택안함)),"
맛
★
5
양
★
5
배달
★
0
",3.8
133,오늘은 다른때와 다르게 눅눅했지만맛있어요,★★★★★,교촌신화오리지날/1(사이드 메뉴(칩카사바)),"
맛
★
5
양
★
5
배달
★
5
",3.2
134,맛있게 잘 먹었습니다,★★★★★,교촌레드오리지날/1,"
맛
★
5
양
★
5
배달
★
0
",4.8
135,혹시 쿠폰 지급이 않되나요쿠폰이 안왔어요,★★★★★,교촌반반스틱/1,"
맛
★
5
양
★
5
배달
★
5
",1.2
136,오자마자먹어서 사진을못찍었네요 교촌은말이필요없지요넘맛나게 잘먹었습니다 담에또주문할께요,★★★★★,"교촌허니콤보/1(사이드 메뉴(교촌레드순살[S]),무우 및 소스 추가(교촌무우))","
맛
★
5
양
★
5
배달
★
5
",5.0
137,맛있어요 항상 잘먹습니다,★★★★★,"교촌살살후라이드/1(사이드 메뉴(교촌순살[S]（간장）),무우 및 소스 추가(교촌허니머스타드소스))","
맛
★
5
양
★
5
배달
★
5
",4.8
138,배송도 빠르고 맛있게 잘 먹었습니다교촌은 포장을 오밀조밀하게 잘하는 같네요좀 맵기는 맵습니다,★★★★★,교촌반반콤보/1,"
맛
★
5
양
★
5
배달
★
5
",5.0
139,맛있게 먹었습니당,★★★★★,"교촌콤보/1,교촌레드콤보[S]/1,펩시（사이즈업）1.25L/1","
맛
★
5
양
★
5
배달
★
5
",4.6
140,레드콤보는 양념을 바른건지 양념맛도 못느끼겟고허니콤보는 양이점점 줄어드는거 같네요,★★★,"교촌레드콤보/1,교촌허니콤보/1","
맛
★
3
양
★
2
배달
★
4
",1.41
141,항상 맛있게 잘 먹고 있어요 배달도 생각보다 빨리 왔어요,★★★★★,"교촌허니콤보/1(사이드 메뉴(선택안함),무우 및 소스 추가(교촌스위트칠리소스))","
맛
★
5
양
★
5
배달
★
5
",4.79
142,너무맛있어요초딩아이가 이것만먹어요,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.79
143,항상 깨끗하고 맛있어요,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
144,교촌허니콤보 최고,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
0
",5.0
145,언제 먹어도 맛있는 허니콤보맛좋쥬,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
146,아이들이 제일 좋아하는 치킨 입니다맛있게 잘 먹었습니다 감사합니다,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.8
147,아주 맛있어용 ㅎㅎㅎ,★★★★★,"시그니처순살세트/1(사이드 메뉴(교촌웨지감자（세트）),무우 및 소스 추가(교촌무우,레드디핑소스))","
맛
★
5
양
★
5
배달
★
5
",4.79
148,맛있어요 잘먹엇습니다,★★★★★,"교촌허니순살[R]/1,퐁듀치즈볼R,（6ea）/1","
맛
★
5
양
★
5
배달
★
5
",5.0
149,넘넘 맛나요 여기서 맨날 시켜먹음 ,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
0
",4.8
150,역시 맛있어요 배달도 빨리 왔고 다음에 또 주문할게요,★★★★★,"교촌허니오리지날/1(사이드 메뉴(교촌웨지감자（세트）)),생맥주（500cc）/1","
맛
★
5
양
★
5
배달
★
5
",4.8
151,교촌 짱맛  늘 시켜먹어요,★★★★★,"교촌허니오리지날/1(사이드 메뉴(선택안함),무우 및 소스 추가(레드디핑소스))","
맛
★
5
양
★
5
배달
★
5
",4.79
152,냐냐ㅑ냐냐냐냐냐냐냐냐냔,★★★★★,교촌허니오리지날/1(사이드 메뉴(칩카사바)),"
맛
★
5
양
★
5
배달
★
0
",3.4
153,맛있어요 빠삭 짭짤 달달해서 좋고 맛있는 부위만 있어서 더 좋네요식후감,★★★★★,교촌허니콤보/1,"
맛
★
5
양
★
5
배달
★
5
",4.6
154,교촌 허니콤보 존맛탱 ㅎㅎㅎㅎ배달도 빠른편이에요,★★★★★,"교촌허니콤보/1(사이드 메뉴(교촌웨지감자（세트）),무우 및 소스 추가(레드디핑소스))","
맛
★
5
양
★
5
배달
★
5
",4.6
